fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide
8,0.28,0.44,1.8,0.081,28
7.6,0.79,0.21,2.3,0.087,21
7.5,0.61,0.26,1.9,0.073,24
9.7,0.69,0.32,2.5,0.088,22
6.8,0.68,0.09,3.9,0.068,15
9.7,0.69,0.32,2.5,0.088,22
7,0.62,0.1,1.4,0.071,27
7.5,0.61,0.26,1.9,0.073,24
6.5,0.51,0.15,3,0.064,12
8,1.18,0.21,1.9,0.083,14
7,0.36,0.21,2.3,0.086,20
7,0.36,0.21,2.4,0.086,24
7.5,0.63,0.27,2,0.083,17
5.4,0.74,0,1.2,0.041,16
9.9,0.44,0.46,2.2,0.091,10
7.5,0.63,0.27,2,0.083,17
9.1,0.76,0.68,1.7,0.414,18
9.7,0.66,0.34,2.6,0.094,12
5,0.74,0,1.2,0.041,16
9.1,0.34,0.42,1.8,0.058,9
9.1,0.36,0.39,1.8,0.06,21
6.7,0.46,0.24,1.7,0.077,18
6.7,0.46,0.24,1.7,0.077,18
6.7,0.46,0.24,1.7,0.077,18
6.7,0.46,0.24,1.7,0.077,18
6.5,0.52,0.11,1.8,0.073,13
7.4,0.6,0.26,2.1,0.083,17
7.4,0.6,0.26,2.1,0.083,17
7.8,0.87,0.26,3.8,0.107,31
8.4,0.39,0.1,1.7,0.075,6
9.1,0.775,0.22,2.2,0.079,12
7.2,0.835,0,2,0.166,4
6.6,0.58,0.02,2.4,0.069,19
6,0.5,0,1.4,0.057,15
6,0.5,0,1.4,0.057,15
6,0.5,0,1.4,0.057,15
7.5,0.51,0.02,1.7,0.084,13
7.5,0.51,0.02,1.7,0.084,13
7.5,0.51,0.02,1.7,0.084,13
7.6,0.54,0.02,1.7,0.085,17
7.5,0.51,0.02,1.7,0.084,13
11.5,0.42,0.48,2.6,0.077,8
8.2,0.44,0.24,2.3,0.063,10
6.1,0.59,0.01,2.1,0.056,5
7.2,0.655,0.03,1.8,0.078,7
7.2,0.655,0.03,1.8,0.078,7
6.9,0.57,0,2.8,0.081,21
9,0.6,0.29,2,0.069,32
7.2,0.62,0.01,2.3,0.065,8
7.6,0.645,0.03,1.9,0.086,14
7.6,0.645,0.03,1.9,0.086,14
7.2,0.58,0.03,2.3,0.077,7
6.1,0.32,0.25,1.8,0.086,5
6.1,0.34,0.25,1.8,0.084,4
7.3,0.43,0.24,2.5,0.078,27
7.4,0.64,0.17,5.4,0.168,52
11.6,0.475,0.4,1.4,0.091,6
9.2,0.54,0.31,2.3,0.112,11
8.3,0.85,0.14,2.5,0.093,13
11.6,0.475,0.4,1.4,0.091,6
8,0.83,0.27,2,0.08,11
7.2,0.605,0.02,1.9,0.096,10
7.8,0.5,0.09,2.2,0.115,10
7.3,0.74,0.08,1.7,0.094,10
6.9,0.54,0.3,2.2,0.088,9
8,0.77,0.32,2.1,0.079,16
6.6,0.61,0,1.6,0.069,4
8.7,0.78,0.51,1.7,0.415,12
7.5,0.58,0.56,3.1,0.153,5
8.7,0.78,0.51,1.7,0.415,12
7.7,0.75,0.27,3.8,0.11,34
6.8,0.815,0,1.2,0.267,16
7.2,0.56,0.26,2,0.083,13
8.2,0.885,0.2,1.4,0.086,7
5.2,0.49,0.26,2.3,0.09,23
7.2,0.45,0.15,2,0.078,10
7.5,0.57,0.02,2.6,0.077,11
7.5,0.57,0.02,2.6,0.077,11
6.8,0.83,0.09,1.8,0.074,4
8,0.6,0.22,2.1,0.08,25
8,0.6,0.22,2.1,0.08,25
7.1,0.755,0.15,1.8,0.107,20
8,0.81,0.25,3.4,0.076,34
7.4,0.64,0.07,1.8,0.1,8
7.4,0.64,0.07,1.8,0.1,8
6.6,0.64,0.31,6.1,0.083,7
6.7,0.48,0.02,2.2,0.08,36
6,0.49,0,2.3,0.068,15
8,0.64,0.22,2.4,0.094,5
7.1,0.62,0.06,1.3,0.07,5
8,0.52,0.25,2,0.078,19
6.4,0.57,0.14,3.9,0.07,27
8.6,0.685,0.1,1.6,0.092,3
8.7,0.675,0.1,1.6,0.09,4
7.3,0.59,0.26,2,0.08,17
7,0.6,0.12,2.2,0.083,13
7.2,0.67,0,2.2,0.068,10
7.9,0.69,0.21,2.1,0.08,33
7.9,0.69,0.21,2.1,0.08,33
7.6,0.3,0.42,2,0.052,6
7.2,0.33,0.33,1.7,0.061,3
8,0.5,0.39,2.6,0.082,12
7.7,0.28,0.3,2,0.062,18
8.2,0.24,0.34,5.1,0.062,8
6,0.51,0,2.1,0.064,40
8.1,0.29,0.36,2.2,0.048,35
6,0.51,0,2.1,0.064,40
6.6,0.96,0,1.8,0.082,5
6.4,0.47,0.4,2.4,0.071,8
8.2,0.24,0.34,5.1,0.062,8
9.9,0.57,0.25,2,0.104,12
10,0.32,0.59,2.2,0.077,3
6.2,0.58,0,1.6,0.065,8
10,0.32,0.59,2.2,0.077,3
7.3,0.34,0.33,2.5,0.064,21
7.8,0.53,0.01,1.6,0.077,3
7.7,0.64,0.21,2.2,0.077,32
7.8,0.53,0.01,1.6,0.077,3
7.5,0.4,0.18,1.6,0.079,24
7,0.54,0,2.1,0.079,39
6.4,0.53,0.09,3.9,0.123,14
8.3,0.26,0.37,1.4,0.076,8
8.3,0.26,0.37,1.4,0.076,8
7.7,0.23,0.37,1.8,0.046,23
7.6,0.41,0.33,2.5,0.078,6
7.8,0.64,0,1.9,0.072,27
7.9,0.18,0.4,2.2,0.049,38
7.4,0.41,0.24,1.8,0.066,18
7.6,0.43,0.31,2.1,0.069,13
5.9,0.44,0,1.6,0.042,3
6.1,0.4,0.16,1.8,0.069,11
10.2,0.54,0.37,15.4,0.214,55
10.2,0.54,0.37,15.4,0.214,55
10,0.38,0.38,1.6,0.169,27
6.8,0.915,0.29,4.8,0.07,15
7,0.59,0,1.7,0.052,3
7.3,0.67,0.02,2.2,0.072,31
7.2,0.37,0.32,2,0.062,15
7.4,0.785,0.19,5.2,0.094,19
6.9,0.63,0.02,1.9,0.078,18
6.9,0.58,0.2,1.75,0.058,8
7.3,0.67,0.02,2.2,0.072,31
7.4,0.785,0.19,5.2,0.094,19
6.9,0.63,0.02,1.9,0.078,18
6.8,0.67,0,1.9,0.08,22
6.9,0.58,0.01,1.9,0.08,40
7.2,0.38,0.31,2,0.056,15
7.2,0.37,0.32,2,0.062,15
7.8,0.32,0.44,2.7,0.104,8
6.6,0.58,0.02,2,0.062,37
7.6,0.49,0.33,1.9,0.074,27
11.7,0.45,0.63,2.2,0.073,7
6.5,0.9,0,1.6,0.052,9
6,0.54,0.06,1.8,0.05,38
7.6,0.49,0.33,1.9,0.074,27
8.4,0.29,0.4,1.7,0.067,8
7.9,0.2,0.35,1.7,0.054,7
6.4,0.42,0.09,2.3,0.054,34
6.2,0.785,0,2.1,0.06,6
6.8,0.64,0.03,2.3,0.075,14
6.9,0.63,0.01,2.4,0.076,14
6.8,0.59,0.1,1.7,0.063,34
6.8,0.59,0.1,1.7,0.063,34
7.3,0.48,0.32,2.1,0.062,31
6.7,1.04,0.08,2.3,0.067,19
7.3,0.48,0.32,2.1,0.062,31
7.3,0.98,0.05,2.1,0.061,20
10,0.69,0.11,1.4,0.084,8
6.7,0.7,0.08,3.75,0.067,8
7.6,0.35,0.6,2.6,0.073,23
6.1,0.6,0.08,1.8,0.071,14
9.9,0.5,0.5,13.8,0.205,48
5.3,0.47,0.11,2.2,0.048,16
9.9,0.5,0.5,13.8,0.205,48
5.3,0.47,0.11,2.2,0.048,16
7.1,0.875,0.05,5.7,0.082,3
8.2,0.28,0.6,3,0.104,10
5.6,0.62,0.03,1.5,0.08,6
8.2,0.28,0.6,3,0.104,10
7.2,0.58,0.54,2.1,0.114,3
8.1,0.33,0.44,1.5,0.042,6
6.8,0.91,0.06,2,0.06,4
7,0.655,0.16,2.1,0.074,8
6.8,0.68,0.21,2.1,0.07,9
6,0.64,0.05,1.9,0.066,9
5.6,0.54,0.04,1.7,0.049,5
6.2,0.57,0.1,2.1,0.048,4
7.1,0.22,0.49,1.8,0.039,8
5.6,0.54,0.04,1.7,0.049,5
6.2,0.65,0.06,1.6,0.05,6
7.7,0.54,0.26,1.9,0.089,23
6.4,0.31,0.09,1.4,0.066,15
7,0.43,0.02,1.9,0.08,15
7.7,0.54,0.26,1.9,0.089,23
6.9,0.74,0.03,2.3,0.054,7
6.6,0.895,0.04,2.3,0.068,7
6.9,0.74,0.03,2.3,0.054,7
7.5,0.725,0.04,1.5,0.076,8
7.8,0.82,0.29,4.3,0.083,21
7.3,0.585,0.18,2.4,0.078,15
6.2,0.44,0.39,2.5,0.077,6
7.5,0.38,0.57,2.3,0.106,5
6.7,0.76,0.02,1.8,0.078,6
6.8,0.81,0.05,2,0.07,6
7.5,0.38,0.57,2.3,0.106,5
7.1,0.27,0.6,2.1,0.074,17
7.9,0.18,0.4,1.8,0.062,7
6.4,0.36,0.21,2.2,0.047,26
7.1,0.69,0.04,2.1,0.068,19
6.4,0.79,0.04,2.2,0.061,11
6.4,0.56,0.15,1.8,0.078,17
6.9,0.84,0.21,4.1,0.074,16
6.9,0.84,0.21,4.1,0.074,16
6.1,0.32,0.25,2.3,0.071,23
6.5,0.53,0.06,2,0.063,29
7.4,0.47,0.46,2.2,0.114,7
6.6,0.7,0.08,2.6,0.106,14
6.5,0.53,0.06,2,0.063,29
6.9,0.48,0.2,1.9,0.082,9
6.1,0.32,0.25,2.3,0.071,23
6.8,0.48,0.25,2,0.076,29
6,0.42,0.19,2,0.075,22
6.7,0.48,0.08,2.1,0.064,18
6.8,0.47,0.08,2.2,0.064,18
7.1,0.53,0.07,1.7,0.071,15
7.9,0.29,0.49,2.2,0.096,21
7.1,0.69,0.08,2.1,0.063,42
6.6,0.44,0.09,2.2,0.063,9
6.1,0.705,0.1,2.8,0.081,13
7.2,0.53,0.13,2,0.058,18
8,0.39,0.3,1.9,0.074,32
6.6,0.56,0.14,2.4,0.064,13
7,0.55,0.13,2.2,0.075,15
6.1,0.53,0.08,1.9,0.077,24
5.4,0.58,0.08,1.9,0.059,20
6.2,0.64,0.09,2.5,0.081,15
7.2,0.39,0.32,1.8,0.065,34
6.2,0.52,0.08,4.4,0.071,11
7.4,0.25,0.29,2.2,0.054,19
6.7,0.855,0.02,1.9,0.064,29
11.1,0.44,0.42,2.2,0.064,14
8.4,0.37,0.43,2.3,0.063,12
6.5,0.63,0.33,1.8,0.059,16
7,0.57,0.02,2,0.072,17
6.3,0.6,0.1,1.6,0.048,12
11.2,0.4,0.5,2,0.099,19
7.4,0.36,0.3,1.8,0.074,17
7.1,0.68,0,2.3,0.087,17
7.1,0.67,0,2.3,0.083,18
6.3,0.68,0.01,3.7,0.103,32
7.3,0.735,0,2.2,0.08,18
6.6,0.855,0.02,2.4,0.062,15
7,0.56,0.17,1.7,0.065,15
6.6,0.88,0.04,2.2,0.066,12
6.6,0.855,0.02,2.4,0.062,15
6.9,0.63,0.33,6.7,0.235,66
7.8,0.6,0.26,2,0.08,31
7.8,0.6,0.26,2,0.08,31
7.8,0.6,0.26,2,0.08,31
7.2,0.695,0.13,2,0.076,12
7.2,0.695,0.13,2,0.076,12
7.2,0.695,0.13,2,0.076,12
6.7,0.67,0.02,1.9,0.061,26
6.7,0.16,0.64,2.1,0.059,24
7.2,0.695,0.13,2,0.076,12
7,0.56,0.13,1.6,0.077,25
6.2,0.51,0.14,1.9,0.056,15
6.4,0.36,0.53,2.2,0.23,19
6.4,0.38,0.14,2.2,0.038,15
7.3,0.69,0.32,2.2,0.069,35
6,0.58,0.2,2.4,0.075,15
5.6,0.31,0.78,13.9,0.074,23
7.5,0.52,0.4,2.2,0.06,12
8,0.3,0.63,1.6,0.081,16
6.2,0.7,0.15,5.1,0.076,13
6.8,0.67,0.15,1.8,0.118,13
6.2,0.56,0.09,1.7,0.053,24
7.4,0.35,0.33,2.4,0.068,9
6.2,0.56,0.09,1.7,0.053,24
6.1,0.715,0.1,2.6,0.053,13
6.2,0.46,0.29,2.1,0.074,32
6.7,0.32,0.44,2.4,0.061,24
7.2,0.39,0.44,2.6,0.066,22
7.5,0.31,0.41,2.4,0.065,34
5.8,0.61,0.11,1.8,0.066,18
7.2,0.66,0.33,2.5,0.068,34
6.6,0.725,0.2,7.8,0.073,29
6.3,0.55,0.15,1.8,0.077,26
5.4,0.74,0.09,1.7,0.089,16
6.3,0.51,0.13,2.3,0.076,29
6.8,0.62,0.08,1.9,0.068,28
6.2,0.6,0.08,2,0.09,32
5.9,0.55,0.1,2.2,0.062,39
6.3,0.51,0.13,2.3,0.076,29
5.9,0.645,0.12,2,0.075,32
6,0.31,0.47,3.6,0.067,18
